"Date,Store_ID,SKU_Category,Unit_Cost,Retail_Price,Units_Ordered,Units_Sold,Units_Spoiled,Stockout_Flag,Peak_Hour_Stockout,Est_Lost_Sales"
"2023-10-01,ST-001,Produce,0.80,2.50,150,110,40,0,0,0"
"2023-10-01,ST-001,Dairy,1.50,3.99,80,80,0,1,1,15"
"2023-10-01,ST-001,Bakery,1.20,4.50,60,45,15,0,0,0"
"2023-10-01,ST-001,Pantry,2.00,5.50,100,95,5,0,0,0"
"2023-10-01,ST-002,Produce,0.80,2.50,120,120,0,1,0,8"
"2023-10-01,ST-002,Dairy,1.50,3.99,90,75,15,0,0,0"
"2023-10-01,ST-002,Bakery,1.20,4.50,50,50,0,1,1,20"
"2023-10-01,ST-003,Produce,0.80,2.50,200,160,40,0,0,0"
"2023-10-02,ST-001,Produce,0.80,2.50,130,130,0,1,1,25"
"2023-10-02,ST-001,Dairy,1.50,3.99,100,82,18,0,0,0"